,,precision,precision,recall,recall,f1_score,f1_score,auc_roc,auc_roc,auc_pr,auc_pr,gmean,gmean,balanced_accuracy,balanced_accuracy,training_time,training_time
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
sampler,model,,,,,,,,,,,,,,,,
ADASYN,DecisionTree,0.43618998108793666,0.02293880907005964,0.7764172335600907,0.02859695451662469,0.5579874095545723,0.01679637238433746,0.887336344828161,0.014239034562673687,0.33884128574171773,0.01704797421660288,0.8802564727408553,0.016145992227115265,0.887336344828161,0.014239034562673706,57.27697854042053,2.2361964838856605
ADASYN,KNN,0.46719828278333003,0.028282932811990204,0.8516182230467944,0.021056709204748402,0.6029910234239371,0.02545129720858912,0.9324626546824761,0.0075822885620821364,0.6261678498202856,0.0383335711206812,0.9219960632097834,0.011385513773071194,0.9249649773764125,0.010528185861433541,3.2355440616607667,0.03267631638437172
ADASYN,LightGBM,0.38722079922660047,0.03541150195082081,0.8556380127808699,0.028447798750538628,0.5325863930518168,0.03717352454524477,0.9720887001521408,0.01041270442332761,0.8325504685710609,0.039878710457855134,0.9238127430375537,0.01534661776754833,0.9266372185846562,0.01428510243471099,5.829582023620605,0.4045728626551484
ADASYN,LogisticRegression,0.018287097001711595,0.00041970350515572005,0.9349000206143063,0.0172912440217397,0.035872248401259396,0.000813213540951204,0.9755234136165999,0.006933853242934863,0.7273061703435958,0.022415419839160514,0.9239118875086161,0.008087452977389793,0.9240122739935573,0.008165828088732802,0.39065141677856446,0.0549331193480602
ADASYN,RandomForest,0.39900776940362037,0.039826380710111735,0.8475365903937332,0.02592831934421372,0.5417453207106881,0.03982156345760001,0.9707656974781468,0.013244955556171696,0.8008686110815268,0.04815621056534507,0.9195023395579949,0.014035851739834609,0.9226498174521117,0.013000834338210449,5.016025114059448,0.11402602911445917
ADASYN,SVM,0.033409926644571326,0.006936316574514879,0.8374355802927231,0.03984387339631399,0.06414120697128378,0.012603571701269677,0.9328319021049166,0.010972867015400605,0.3375792922297664,0.07123521633714353,0.8947478314241503,0.017755378003315947,0.8970094736664009,0.01615934950468521,84.98915357589722,6.233919530537767
ADASYN,XGBoost,0.690436465343442,0.0504783641393075,0.8393939393939395,0.022327825191825763,0.7570980806188148,0.0362208670830638,0.9761601052264577,0.009123426131443985,0.8502244138745187,0.031666816451748604,0.9158188822804953,0.012185372751153226,0.9193681091022068,0.011196542909707287,4.130387639999389,0.2592412005856764
ENN,DecisionTree,0.7067225562196162,0.02969083310742509,0.804906204906205,0.010409051043033501,0.7524449250160483,0.020099425666812012,0.9021629313400764,0.005228692785420122,0.5693461884446502,0.029355537348273005,0.8968903180539955,0.005835471495345194,0.9021629313400764,0.005228692785420159,22.81252031326294,2.137507036991465
ENN,KNN,0.8949215372460856,0.05773275905444392,0.7947227375798804,0.021952131157043295,0.8414184893491343,0.035231441390457446,0.9246312147073628,0.012098317456847064,0.763151322206198,0.06870131164197683,0.8913304571075509,0.01237376915699665,0.8972787139880479,0.011007723934144252,1.6075764656066895,0.010531618257795956
ENN,LightGBM,0.32081073795230164,0.043069584725672405,0.569181612038755,0.09061049944650214,0.40921646849599647,0.053414632094460304,0.7358621032654612,0.07128744439548959,0.2450705642816855,0.0757630359078511,0.7516855802793722,0.060752597289068754,0.7835444313996776,0.045260375357732086,2.6996710300445557,0.1463098395826458
ENN,LogisticRegression,0.8771725399889159,0.02655608355154942,0.6627499484642342,0.042357697075846155,0.754226852476074,0.02880418046286164,0.9749613142341529,0.008968782616811685,0.7635779384955438,0.023358209995138726,0.8136883176063817,0.026305593390878214,0.831294078043031,0.021172144669495577,0.17588653564453124,0.012367186577746976
ENN,RandomForest,0.9135238858975828,0.038234806397990866,0.8069264069264068,0.012032779146784939,0.8567826208622247,0.023255203291546497,0.9598267275888425,0.013391819476745932,0.837630925465658,0.0338833439634436,0.8982108743232352,0.006740355790143011,0.9033963761765673,0.006045651365658282,4.614814424514771,0.17475920709623993
ENN,SVM,0.8650314267289971,0.05532323820126088,0.7967635539064111,0.02955084360018196,0.8291581939977675,0.03838828276169785,0.9441020232084469,0.01537870275482007,0.7851651823635544,0.04270259597690656,0.8923954199248115,0.01664937624151438,0.8982727429592201,0.014808067322059058,11.942373895645142,0.22646182658073258
ENN,XGBoost,0.9056198806754981,0.0362635941833431,0.8150484436198722,0.028003285135332682,0.8578023183751549,0.02935433987356622,0.980931810149152,0.007853762492464845,0.8430003994107699,0.033716433082140146,0.9026268835544531,0.015556393832329303,0.9074503600720749,0.01402063623815276,2.3263246059417724,0.5679147961107147
None,DecisionTree,0.7442021567021567,0.028500039673680592,0.776499690785405,0.028902477837381153,0.7595241018987353,0.019390413691506212,0.8880177085022817,0.014439627560140061,0.5781878972531983,0.029637240774795556,0.8808661770075756,0.01633330718174147,0.8880177085022817,0.014439627560140085,23.499376726150512,2.120595961185017
None,DecisionTree_Balanced,0.7809178757480965,0.05143346126704111,0.7377860235003093,0.04763750544707663,0.7577741689812539,0.03803772903621637,0.8687118746311142,0.023819015235626344,0.5770511234023552,0.056468302579169155,0.858431602825345,0.027702478513313086,0.8687118746311141,0.023819015235626313,10.506191873550415,2.781796407809911
None,KNN,0.9353086419753087,0.050155388777297784,0.77847866419295,0.026082943002590692,0.8494712724495098,0.03333991105437033,0.924677417899473,0.012071791684689392,0.8066942108874654,0.03580237387412127,0.8821732385475812,0.014839530866900569,0.8891918495507071,0.013066809661019793,1.8911312103271485,0.5716536168785157
