,fold,sampler,model,precision,recall,f1_score,auc_roc,auc_pr,gmean,balanced_accuracy,confusion_matrix,training_time,fold_time
0,1,None,LogisticRegression,0.8769230769230769,0.5757575757575758,0.6951219512195121,0.9774210103070698,0.7226368283614121,0.7587335322666947,0.7878084433665391,"[[56855     8]
 [   42    57]]",3.91274094581604,948.0880317687988
1,1,None,KNN,0.8823529411764706,0.7575757575757576,0.8152173913043478,0.9089484436898397,0.7726137702602993,0.8703117426146003,0.8786999481475679,"[[56853    10]
 [   24    75]]",2.912261962890625,948.0880317687988
2,1,None,SVM,0.875,0.7070707070707071,0.7821229050279329,0.9295304308405974,0.7750448972200875,0.8408010232573884,0.8534474228950426,"[[56853    10]
 [   29    70]]",12.42527723312378,948.0880317687988
3,1,None,DecisionTree,0.7474747474747475,0.7474747474747475,0.7474747474747475,0.8735175471365965,0.5591573871963883,0.8643761437065111,0.8735175471365965,"[[56838    25]
 [   25    74]]",26.335410356521606,948.0880317687988
4,1,None,RandomForest,0.9146341463414634,0.7575757575757576,0.8287292817679558,0.930030214389112,0.8226383457875817,0.8703347044704876,0.8787263273396612,"[[56856     7]
 [   24    75]]",4.8094482421875,948.0880317687988
5,1,None,XGBoost,0.9493670886075949,0.7575757575757576,0.8426966292134831,0.9798123684482125,0.8398094941549702,0.8703576657205929,0.8787527065317544,"[[56859     4]
 [   24    75]]",2.1835010051727295,948.0880317687988
6,1,None,LightGBM,0.2634146341463415,0.5454545454545454,0.35526315789473684,0.7000184032612852,0.21040988746249445,0.7375676836723443,0.7713995200585777,"[[56712   151]
 [   45    54]]",2.597662925720215,948.0880317687988
7,1,None,LogisticRegression_Balanced,0.07137192704203013,0.9090909090909091,0.1323529411764706,0.9878542028270323,0.7094843936817872,0.9435940209641307,0.9442487765650455,"[[55692  1171]
 [    9    90]]",4.48716402053833,948.0880317687988
8,1,None,DecisionTree_Balanced,0.7789473684210526,0.7474747474747475,0.7628865979381443,0.8735527193927208,0.5826823765905962,0.8644065586027609,0.8735527193927208,"[[56842    21]
 [   25    74]]",8.342717409133911,948.0880317687988
9,1,None,RandomForest_Balanced,0.9146341463414634,0.7575757575757576,0.8287292817679558,0.930030214389112,0.8226383457875817,0.8703347044704876,0.8787263273396612,"[[56856     7]
 [   24    75]]",4.483186721801758,948.0880317687988
10,1,Random OverSampling,LogisticRegression,0.07074721780604133,0.898989898989899,0.131171702284451,0.9877614759699772,0.7097188761671993,0.9383540373962275,0.9392158576426026,"[[55694  1169]
 [   10    89]]",0.5549538135528564,948.0880317687988
11,1,Random OverSampling,KNN,0.6666666666666666,0.8080808080808081,0.730593607305936,0.9088641546215013,0.6762922281251292,0.8986169192585837,0.9036886814791603,"[[56823    40]
 [   19    80]]",3.070411205291748,948.0880317687988
12,1,Random OverSampling,SVM,0.12303290414878398,0.8686868686868687,0.21553884711779447,0.9777807265628872,0.6884622092627302,0.9269963142725687,0.9289532860923748,"[[56250   613]
 [   13    86]]",90.86692023277283,948.0880317687988
13,1,Random OverSampling,DecisionTree,0.8222222222222222,0.7474747474747475,0.783068783068783,0.8735966847128762,0.615029237007632,0.8644445757182065,0.8735966847128762,"[[56847    16]
 [   25    74]]",11.661325454711914,948.0880317687988
14,1,Random OverSampling,RandomForest,0.8555555555555555,0.7777777777777778,0.8148148148148148,0.9620303948689718,0.8261669201439672,0.8818162861293314,0.8887745790564847,"[[56850    13]
 [   22    77]]",5.482965707778931,948.0880317687988
15,1,Random OverSampling,XGBoost,0.8695652173913043,0.8080808080808081,0.837696335078534,0.9793338125997325,0.8473372455936469,0.8988382924252293,0.903934887272031,"[[56851    12]
 [   19    80]]",3.8107922077178955,948.0880317687988
16,1,Random OverSampling,LightGBM,0.8279569892473119,0.7777777777777778,0.8020833333333334,0.9633408278660904,0.7584996966307823,0.8817930189018934,0.8887481998643914,"[[56847    16]
 [   22    77]]",5.4658355712890625,948.0880317687988
17,1,SMOTE,LogisticRegression,0.06612784717119764,0.9090909090909091,0.1232876712328767,0.9879856546933556,0.7026661125833866,0.9427464863283831,0.9433694701619362,"[[55592  1271]
 [    9    90]]",0.4412648677825928,948.0880317687988
18,1,SMOTE,KNN,0.47674418604651164,0.8282828282828283,0.6051660516605166,0.9237683981542026,0.5924743441926867,0.9093799329063392,0.9133500383786158,"[[56773    90]
 [   17    82]]",3.1987221240997314,948.0880317687988
19,1,SMOTE,SVM,0.10763454317897372,0.8686868686868687,0.1915367483296214,0.966509972489256,0.675343046318041,0.926171951002113,0.9280739796892656,"[[56150   713]
 [   13    86]]",85.53885746002197,948.0880317687988
20,1,SMOTE,DecisionTree,0.38071065989847713,0.7575757575757576,0.5067567567567568,0.8777151249760855,0.28883850011034806,0.8694540660738981,0.8777151249760855,"[[56741   122]
 [   24    75]]",45.67865586280823,948.0880317687988
21,1,SMOTE,RandomForest,0.7207207207207207,0.8080808080808081,0.7619047619047619,0.983145916723111,0.8210417678281122,0.8986880808661966,0.9037678190554401,"[[56832    31]
 [   19    80]]",5.569406509399414,948.0880317687988
22,1,SMOTE,XGBoost,0.7864077669902912,0.8181818181818182,0.801980198019802,0.9661941327347655,0.8481794256579304,0.9043590370404327,0.9088974616822251,"[[56841    22]
 [   18    81]]",4.027750253677368,948.0880317687988
23,1,SMOTE,LightGBM,0.5915492957746479,0.8484848484848485,0.6970954356846473,0.9691726721517622,0.8041896937327628,0.9206624776860413,0.9237324265286209,"[[56805    58]
 [   15    84]]",5.5065553188323975,948.0880317687988
